,Alpha1,Alpha1,Gamma1,Gamma1,Theta,Theta,userdefined,Predicted_Prob_tuned,Predicted_Prob_default
,mean,std,mean,std,mean,std,sum,mean,mean
VideoID,,,,,,,,,
0.0,50564.167,87466.375,30174.658,52223.803,217233.739,390925.731,78.0,0.344,0.531
1.0,31035.321,44239.589,43439.526,134718.798,134952.596,215474.037,166.0,0.575,0.539
2.0,39746.03,66198.282,32967.91,117742.949,156481.069,199926.417,101.0,0.473,0.503
3.0,47741.227,94818.031,20113.939,33449.135,188957.166,274834.092,147.0,0.544,0.549
4.0,49339.39,89911.998,37249.331,74271.796,179467.047,280889.776,168.0,0.701,0.616
5.0,51929.751,98754.731,37467.844,73599.13,207034.295,254419.415,143.0,0.554,0.561
6.0,41101.291,59496.922,19977.987,49214.909,187493.878,287391.493,108.0,0.492,0.559
7.0,34782.861,62265.779,17755.804,28917.195,135045.881,180639.792,71.0,0.499,0.574
8.0,46247.678,93409.41,25642.958,34529.497,160736.47,208651.688,193.0,0.719,0.596
9.0,38337.898,58565.461,17936.684,29316.756,157536.131,229333.763,47.0,0.288,0.472
